Address,Read/Write,Soft Miss,Hard Miss,Hit,Dirty,Value
8D0D,1,1,0,0,1,-1434702
8D26,0,0,0,1,0,129
DB57,0,1,0,0,0,251
08A8,0,1,0,0,0,240
4D60,0,1,0,0,0,26
0E63,0,1,0,0,0,75
FF6D,0,1,0,0,0,155
4B80,0,1,0,0,0,139
AC22,0,1,0,0,0,6
0835,0,1,0,0,0,198
1B2D,0,1,0,0,0,109
4FAD,0,1,0,0,0,182
BD12,0,0,1,0,0,6
45E5,0,1,0,0,0,115
0C01,0,0,1,0,0,243
8DF6,0,0,0,1,0,116
8E76,0,0,1,0,0,232
C117,0,0,1,0,0,205
EBE4,0,1,0,0,0,225
CE62,0,1,0,0,0,62
4B07,0,1,0,0,0,52
E44A,0,1,0,0,0,105
2B92,0,1,0,0,0,142
607C,0,1,0,0,0,22
2178,1,1,0,0,1,8700979
8398,0,1,0,0,0,256
9CE1,0,1,0,0,0,197
659B,0,0,1,0,0,222
D0AD,0,1,0,0,0,211
F5FC,0,1,0,0,0,30
6D15,0,1,0,0,0,44
18D6,0,1,0,0,0,14
07DB,0,1,0,0,0,166
E418,0,1,0,0,0,109
0FA5,0,0,1,0,0,197
26FD,1,1,0,0,1,5841938
0A2A,0,1,0,0,0,175
006B,0,1,0,0,0,209
C8E4,1,1,0,0,1,-1302781
2EA4,0,1,0,0,0,194
0B8F,0,1,0,0,0,102
DD47,0,1,0,0,0,208
B14D,0,0,1,0,0,11
8FC8,0,1,0,0,0,83
D85D,1,1,0,0,1,3155
F561,1,1,0,0,1,2175086
EC0B,0,1,0,0,0,225
E630,0,1,0,0,0,256
4A7D,0,1,0,0,0,6
89C2,0,1,0,0,0,61
2D96,0,0,1,0,0,185
EF5F,1,0,1,0,1,-7697913
3D7E,0,1,0,0,0,24
8A24,0,0,1,0,0,139
D971,1,1,0,0,1,1426898
8A60,0,1,0,0,0,4
92A3,0,1,0,0,0,218
4A7A,1,1,0,0,1,7164096
E7C1,0,1,0,0,0,42
19E9,0,1,0,0,0,180
A7E3,0,1,0,0,0,158
95AC,0,1,0,0,0,6
E68C,0,1,0,0,0,78
2835,0,0,1,0,0,204
D146,0,1,0,0,0,146
A9AE,0,0,1,0,0,4
7AFD,0,1,0,0,0,55
90DA,1,0,1,0,1,8501789
AC05,0,1,0,0,0,198
