Address,Read/Write,Soft Miss,Hard Miss,Hit,Dirty,Value
A952,0,0,1,0,0,85
4C3A,0,0,1,0,0,34
FACF,0,0,1,0,0,88
065F,0,0,1,0,0,242
3EFA,0,0,1,0,0,10
FFE0,0,0,1,0,0,79
BA88,0,0,1,0,0,35
8541,0,0,1,0,0,207
7B01,0,0,1,0,0,87
15F2,0,0,1,0,0,17
5E9A,0,0,1,0,0,202
9E6A,0,0,1,0,0,201
5A2B,0,0,1,0,0,11
B598,0,0,1,0,0,198
DC6B,0,0,1,0,0,123
5C33,0,0,1,0,0,62
A884,0,0,1,0,0,165
7474,0,0,1,0,0,79
1424,0,0,1,0,0,59
3788,0,0,1,0,0,215
1580,0,1,0,0,0,73
8CB2,0,0,1,0,0,240
18FA,0,0,1,0,0,236
BC2A,0,0,1,0,0,104
3314,0,0,1,0,0,1
4AAA,0,0,1,0,0,74
6831,0,0,1,0,0,178
BDC6,0,0,1,0,0,5
7CE6,0,0,1,0,0,220
9520,0,0,1,0,0,52
A1FA,0,0,1,0,0,37
BCAD,0,1,0,0,0,30
9183,0,0,1,0,0,238
36E6,0,0,1,0,0,109
69B1,0,0,1,0,0,219
A2B0,0,0,1,0,0,67
B1E1,0,0,1,0,0,126
D656,0,0,1,0,0,226
8F56,0,0,1,0,0,129
175B,0,0,1,0,0,56
58AB,0,0,1,0,0,106
794F,0,0,1,0,0,69
6874,0,1,0,0,0,148
A3FE,0,0,1,0,0,32
28B4,0,0,1,0,0,218
B463,0,0,1,0,0,85
B297,0,0,1,0,0,154
76F6,0,0,1,0,0,91
8CD9,0,1,0,0,0,58
F7EF,0,0,1,0,0,35
FCF4,0,0,1,0,0,162
6A4C,0,0,1,0,0,206
B71D,0,0,1,0,0,109
1593,0,1,0,0,0,10
F05F,0,0,1,0,0,193
438F,1,0,1,0,1,8801665
AEB3,0,0,1,0,0,15
8CF6,0,1,0,0,0,50
A158,0,1,0,0,0,49
4560,0,0,1,0,0,205
660D,0,0,1,0,0,44
52F0,1,0,1,0,1,-779806
7B8A,1,1,0,0,1,-5920482
294A,0,0,1,0,0,54
4AD0,0,1,0,0,0,34
CF95,0,0,1,0,0,184
F060,0,1,0,0,0,167
8FD2,0,1,0,0,0,113
6863,1,1,0,0,1,-4050064
5726,0,0,1,0,0,117
B123,0,1,0,0,0,58
89C7,1,0,1,0,1,-9773036
5EB9,0,1,0,0,0,159
05F8,0,0,1,0,0,77
1C1D,0,0,1,0,0,19
9497,0,0,1,0,0,41
B052,1,0,1,0,1,-3427812
33DF,0,1,0,0,0,97
