Address,Read/Write,Soft Miss,Hard Miss,Hit,Dirty,Value
6A5D,0,0,1,0,0,148
4790,0,0,1,0,0,72
8965,0,0,1,0,0,196
C91C,0,0,1,0,0,228
4652,0,0,1,0,0,59
627C,0,0,1,0,0,102
D69F,0,0,1,0,0,71
0B77,0,0,1,0,0,235
745B,0,0,1,0,0,114
82CF,0,0,1,0,0,83
8A0C,0,0,1,0,0,192
A86A,0,0,1,0,0,198
C3DD,0,0,1,0,0,132
FE93,0,0,1,0,0,178
A5B6,0,0,1,0,0,86
1ECD,0,0,1,0,0,223
F3BB,0,0,1,0,0,242
C151,0,0,1,0,0,83
9965,0,0,1,0,0,14
A4D0,0,0,1,0,0,163
D28A,0,0,1,0,0,227
1DD4,0,0,1,0,0,46
1A85,0,0,1,0,0,154
0A99,0,0,1,0,0,200
742A,0,1,0,0,0,190
E3A9,0,0,1,0,0,154
2435,0,0,1,0,0,251
89E2,0,1,0,0,0,141
E0AA,0,0,1,0,0,207
B460,0,0,1,0,0,183
028C,0,0,1,0,0,91
FA14,0,0,1,0,0,14
0898,0,0,1,0,0,8
8D5B,0,0,1,0,0,88
9816,0,0,1,0,0,94
5BB4,0,0,1,0,0,23
A476,0,1,0,0,0,123
40DF,0,0,1,0,0,116
5D8E,0,0,1,0,0,216
1DF3,0,1,0,0,0,155
8F2E,0,0,1,0,0,5
E8FD,0,0,1,0,0,256
CBEB,0,0,1,0,0,151
33AB,0,0,1,0,0,116
76A8,0,0,1,0,0,131
6539,0,0,1,0,0,46
2A18,0,0,1,0,0,175
61A9,0,0,1,0,0,84
4F32,0,0,1,0,0,174
8E2F,0,0,1,0,0,187
E12B,0,0,1,0,0,2
DE04,1,0,1,0,1,-4230574
1484,1,0,1,0,1,-6330240
D71A,1,0,1,0,1,-6425442
CAE7,0,0,1,0,0,201
527C,1,0,1,0,1,4894212
E33C,0,1,0,0,0,220
1CA0,0,0,1,0,0,223
5DC7,1,1,0,0,1,-9553221
C0CB,0,0,1,0,0,85
CCBE,0,0,1,0,0,127
C8E8,0,0,1,0,0,17
0A74,0,1,0,0,0,98
F005,0,0,1,0,0,181
00C9,1,0,1,0,1,-9704183
1CA6,0,1,0,0,0,43
0E9C,0,0,1,0,0,8
2A99,0,1,0,0,0,9
DCD8,1,0,1,0,1,6753688
D63C,0,1,0,0,0,112
2C49,0,0,1,0,0,62
2245,0,0,1,0,0,160
13DC,1,0,1,0,1,-6209244
0009,0,1,0,0,0,7
254E,0,0,1,0,0,250
9080,0,0,1,0,0,64
B146,0,0,1,0,0,249
9E19,0,0,1,0,0,9
C3EC,1,1,0,0,1,8665183
ACBD,0,0,1,0,0,89
A45A,0,1,0,0,0,193
3DAE,0,0,1,0,0,23
B750,1,0,1,0,1,4289272
F00E,0,1,0,0,0,47
A7D3,0,0,1,0,0,235
B1B5,1,1,0,0,1,-4339886
583B,0,0,1,0,0,77
D352,1,0,1,0,1,-2215477
EA25,0,0,1,0,0,0
4060,0,1,0,0,0,113
22FD,0,1,0,0,0,113
091B,0,0,1,0,0,78
DD4D,0,0,1,0,0,165
DA26,0,0,1,0,0,218
1E14,0,1,0,0,0,61
285C,0,0,1,0,0,213
38C4,0,0,1,0,0,0
AAE7,1,0,1,0,1,1974867
436F,1,0,1,0,1,739081
791E,1,0,1,0,1,9840503
7CC0,0,0,1,0,0,226
6D79,0,0,1,0,0,206
FD52,0,0,1,0,0,247
A7CB,0,1,0,0,0,195
7FE6,1,0,1,0,1,-2558346
369B,1,0,1,0,1,236385
3EA3,0,0,1,0,0,28
12C2,1,0,1,0,1,5977409
6682,0,0,1,0,0,239
E0C1,0,1,0,0,0,126
CE7C,1,0,1,0,1,-6385078
7159,0,0,1,0,0,33
EA42,1,1,0,0,1,8872013
53A9,0,0,1,0,0,175
2992,0,0,1,0,0,178
6DDF,0,1,0,0,0,39
25D0,0,1,0,0,0,216
3D0A,0,1,0,0,0,238
37E6,0,0,1,0,0,236
2F7E,0,0,1,0,0,114
92C2,0,0,1,0,0,52
A89A,0,1,0,0,0,89
A9F0,0,0,1,0,0,2
A18F,0,0,1,0,0,184
DA95,0,1,0,0,0,175
E020,1,1,0,0,1,-3790770
A975,0,1,0,0,0,45
D05A,0,0,1,0,0,8
D864,0,0,1,0,0,85
71DE,1,1,0,0,1,8872037
EF45,0,0,1,0,0,122
3B4B,1,0,1,0,1,5822331
F817,1,0,1,0,1,8785207
FD20,0,1,0,0,0,151
BD89,0,0,1,0,0,195
B863,0,0,1,0,0,149
BAAE,0,0,1,0,0,145
9572,0,0,1,0,0,150
E139,0,1,0,0,0,76
AF4B,1,0,1,0,1,-5460965
BE2A,1,0,1,0,1,-462159
D3C0,0,1,0,0,0,40
1474,0,1,0,0,0,247
